,message,sentiment,predicted sentiment
10135,stopping t pp stupid war oil personal top 2 thing needed done apprehend climate change,1,1
11484,way many people dont believe climate change s alarming people ign,1,1
8049,retweet bit bit pre s trump undoing obama policy climate change abortion energy internet privacy,2,1
6298,retweet al gore trump tower today meeting ivan ka discus climate change issue w th cant wait hear,0,1
12095,donald really quite easy trump 97 pro global warming theory scientist become hero breaking pa,-1,2
10052,retweet white house doubt climate change s pentagon not climate,1,2
4485,65 today s o global warming,0,0
10761,retweet president elect doesnt believe climate change million people going say mr t,1,1
2702,retweet trump gutting little climate change reg s medium acting like care hardly cover climate ch,1,1
12090,retweet claim global warming pause staretweet trend line top 1998 el nino spike regression,1,1
9600,epa remove climate change page website,2,2
14186,retweet let senator amp congressman woman know u feel trump ending effort 2 halt climate change 202 225 3121,1,1
8179,drought downpour climate change feed chesapeake bay algal b,2,1
129,retweet new global warming study terrible news alarmist good news plant animal,-1,-1
4657,wi agency scrub webpage remove climate change via,2,2
10652,retweet thousand marching climate march today many white house leadership deny climate change exists,1,1
8987,accept fact global warming dc new york city flooded,1,1
413,scientist spread word climate change biking across america w top via,2,2
1488,ft ed crook world serious curbing climate change need full scale retreat coal,1,1
9282,retweet stark reminder need action climate change climate march march,1,1
10764,donald trump promised rip paris agreement climate change also want kill clean power,1,1
3494,retweet need act global climate change,1,1
12723,retweet real battle climate change wont fought air conditioned meeting room,1,2
1527,globalization climate change spreading brain invading worm,2,2
15256,retweet big oil must pay climate change calculate much groundbreaking new science today,1,1
4457,serious q gop belief climate change isnt real need clean coal human cant impact en vi ro need coal clean,0,1
12397,retweet latin america forest protection initiative organized investor w 617 b fight deforestation amp climate change,1,1
5052,retweet tim kaine lack knowledge answer question climate change refusing rex tiller,1,1
7126,retweet im voting future planet stake hillary clinton combat climate change donald trump think,1,1
4393,retweet one interesting collaboration leonardo di capri o climate change doc air,0,0
8626,retweet badlands national park defied trump tweeting climate change deleted tweet hour later,2,2
2423,racist homophobic sexist republican screw daughter grab p think global warming s hoax started china not president,1,1
13420,think even climate change denier could get behind solely economic standpoint paris pull,1,1
1061,retweet hate global warming love tan ng l,0,1
3630,leo met president elect discus climate change taylor worked song film promotes domestic abuse,0,0
3473,retweet google william pat ten primary school student get grip climate change hackney gazette,2,0
10887,retweet dont believe n politician amp scientific department anymore covering reality climate change wildlife,1,1
12626,retweet going single issue voter not making global warming even worse would good issue choose,1,1
2516,retweet co 2 linked climate change amp healthcare crisis wasnt created iphones shouldnt sick burn mo,1,1
3964,retweet may fundamentalist homophobic misogynistic climate change denier supported terrorist least,1,1
2747,retweet looking understand much pain mother earth recommend eye opening summary climate change,1,1
6020,retweet last year government spent 700000 tax dollar climate change musical waste,-1,-1
15546,retweet friend die old age im going die climate change,1,1
4722,retweet watch flood right travel world tackle climate change h tt,1,1
5543,higher methane level make fight global warming difficult methane level ha,1,2
2794,gon na s complaining thing actually exist ur far trump s realize global warming killing,1,1
12621,meet 9 bad s woman fighting climate change city,1,1
3538,ln p climate change policy amp parliamentary vote marriage 2,0,1
14514,retweet hrc proposes installing half billion solar panel end first term trump think climate change hoax,1,1
12217,retweet p rie bus say pre s trump s default position climate change bunk awful news u amp world,1,1
7688,retweet angela merkel isnt backing fight climate change,1,1
6912,retweet going win matter lot fast win climate change,1,1
2095,retweet imagine world medium covered climate change way cover hillary clinton s email,1,1
4221,climate change isnt important,-1,1
14750,sad live country climate change chinese hoax bite u s sooner later amp regret,1,1
10656,sure let elect soggy chee think climate change chinese hoax could go wrong,1,1
406,retweet admin put climate change denier charge epa put guy cant download apps char,1,1
10985,retweet dup anti abortion anti lgbt right climate change denier,1,1
10164,retweet isnt fascinating climate change completely avoided every debate political system corrupt,1,1
15767,retweet released album called climate change 2012 released global warming really make u think,0,0
481,didnt president united state tell u climate change chinese hoax,1,1
15034,retweet not okay destroy planet majority people arent board climate change qanda,1,1
12494,retweet idiot oc racy 2017 trump nobody really know climate change real well 97 climatologist,1,1
13046,christian story echoed discussion around climate change environmental catastrophe,1,1
8013,retweet watch flood right travel world tackle climate change h tt,1,1
7475,retweet matter size comfortable bitch global warming go gon na hot af wear little possible,0,1
15744,aga khan warns climate change affect muslim world gulf news,2,2
13113,retweet dont worry global warming going build new earth bigger earth best earth ever trump n,1,1
8237,judge order exxon hand document related climate change,2,2
14372,retweet mismatch marine plankton range movement velocity climate change,2,1
5295,retweet today smog good reminder climate change border amp south asian must co operate,1,1
6557,retweet s thinking s going die husband doesnt believe climate change,1,1
6710,climate change diabetes linked,0,2
235,retweet frog heading uphill escape climate change india,2,1
8904,retweet cop 22 investor act climate change read watch,1,1
10084,retweet dont know ha arp real know weather getting worse global warming fact,1,1
13733,retweet leonardo dicaprio still claim necessary go south america find snow due climate change,0,1
13960,retweet decade climate change cause global famine eat republican first,1,1
6745,omg donald trump doesnt think s climate change,1,1
10116,retweet president elect doesnt believe climate change million people going say mr t,1,1
5454,retweet s really people dont believe climate change loll ll,1,1
15669,sign restore amp maintain accurate science based info climate change white house website,1,1
6847,retweet virtually every major issue raising minimum wage climate change pay equity woman majority,1,1
7514,doubt saw macron wife hideous tan realized global warming must real lol,-1,-1
402,retweet russian astronomer complain climate change clouding night sky ur order,1,2
8794,retweet epa chief scott pr u t overwhelmed call climate change,2,2
10812,anyone explain major climate change event happened earth history could blamed,-1,1
484,retweet claire ba f feretweet interested city twinning programme adaptation climate change new call open july,1,1
2390,retweet call citizen vote people believe climate change called,2,1
4904,retweet charles call global warming tv weather forecast,2,1
13893,p sure global warming r close th end folk,1,1
6561,retweet ive behind climate change almost ten year feeling like outsider nice,1,1
13920,retweet climate change look like,1,1
2336,congress thwarted obama climate change goal miami herald via h ng news political,2,2
2785,retweet done ridiculous language politician like climate change amp carbon tax,-1,1
9671,retweet voted consider stopping climate change madness one key promise,-1,1
8688,retweet president elect doesnt believe climate change million people going say mr t,1,1
6410,retweet though visually stunning colorful view snow cave shed light warming planet,1,1
6196,retweet aretweet politician discussing whether climate change real not,1,1
15520,retweet tucker carlson obliterates leftist paris accord shut believe climate change creed,-1,-1
13989,retweet remember liberal call climate change huge fraud designed impoverish empower enriching,-1,-1
281,retweet cbs evening news donald trump put global warming skeptic charge protecting environment,2,2
12249,retweet s thinking s going die husband doesnt believe climate change,1,1
2758,retweet conservative likely open idea climate change focus message planet past,2,1
14054,tuff shit taxpayer america dont need climate change fuck shit,-1,1
11248,retweet real fake news exposed 97 scientist agree climate change engineered hoax,-1,1
14861,agriculture overuse greater threat wildlife climate change study,2,2
5067,retweet go vegan want play direct role perpetuating lead driver climate change cost u 250,1,1
10572,retweet 2016 warmest record defense business amp recreation accept climate change keep paris,1,1
12406,perhaps aparetweet climate change likely biggest threat ignored incoming administration,1,1
7268,retweet new new world china lecture united state climate change importance cooperation bet,1,1
7460,retweet donald trump engaged extraordinary diplomatic row prince wale climate change say sunday time,2,2
9549,retweet challenge pose greater threat future generation climate change president obama climate change,1,1
10828,retweet people world world b dont believe climate change american republican,1,1
12771,retweet new finding show climate change influence india s farmer suicide,2,2
17,retweet elected leader fail approach environment amp climate change serious issue worthy urgency amp action wi,1,1
4834,tree reduce air temperature ground level ozone contributes greenhouse gas creation amp global warming,1,1
6504,retweet reason go vegan 2017 save 300 animal per year help reverse climate change stop contributing world hunger,1,1
7839,donald trump doesnt believe climate change 16 irrefutable sign real,1,1
9048,got ta cause global warming though,0,0
859,retweet starting synthesizing 41 report community climate change project pk sf,0,1
951,hear lot coal climate change greenhouse gas emission intensive animal ag climate change environment,1,1
12827,retweet china donald trump didn t invent climate change,2,2
3000,retweet trump team memo climate change alarm energy department staff,2,2
11320,retweet not single word ecology climate change french presidential debate 2017 lede bat cop 21 climate chan,1,1
713,retweet m cm think global warming myth,0,1
3283,retweet s thinking s going die husband doesnt believe climate change,1,1
4932,retweet learn r amp kau st aimed finding climate change solution see full video gt,1,1
10677,retweet option basically everything slow climate change based best science b wait till everyones,1,1
957,may not agree climate change axel believe left leaning,0,1
3212,global warming not real explain fake news,0,1
1000,retweet s thinking s going die husband doesnt believe climate change,1,1
12882,retweet paris agreement cost fortune little reduce global warming learn video w,1,1
561,retweet nicola sturgeon wont meet usa shell sign agreement climate change trump critic,1,2
10959,retweet funny thing climate change denial 15 year ago well funded opponent didnt deny said 1 2,1,1
14652,breaking south southeast face europe s adverse climate change impact agency read,2,2
12019,retweet puerto rico canary coal mine climate change see film 1 5 stay alive,1,1
10439,retweet president elect doesnt believe climate change million people going say mr t,1,1
15257,retweet tri state area blizzard april 12 1875 due global warming well,-1,-1
8470,retweet photo force look victim climate change eye,1,1
13594,retweet take prof global warming,0,0
2555,retweet executive order trump dramatically change u s approach climate change,2,2
7106,retweet climate change stop making laugh,-1,1
15346,ad day al gore stirring new climate change ad call world leader,1,1
10466,retweet kim jong il always remembered fondly leadership contribution climate change,0,1
9134,retweet scotus harm associated climate change serious well recognized,1,1
8970,retweet u take climate change seriously vote amp tweet kelly anne microwave trump care bernie aca r,1,1
10094,drink way outta global warming,0,0
12360,bird specie vanish uk due climate change habitat loss,2,2
9240,retweet climate change denier everyone not forget,1,1
4410,retweet s thinking s going die husband doesnt believe climate change,1,1
7727,well much could discredit climate change guess well see,0,0
7189,heatwave s hurricane flood famine seven climate change hotspot via,1,2
8301,man made climate change one biggest lie perpetrated world easy fix stop deforestation money,-1,-1
2560,say global warming alarmist unpatriotic racist urge look,-1,-1
5889,retweet florida half state going disappear ten year due global warming going guy say ch,1,1
2777,mean add global warming amp suffering health amp well indian put money renewables au,1,1
9073,won t avoid dangerous climate change s u decided last night s point pretending otherwise,1,1
3804,retweet cut tax amp cancel billion global warming payment un use money,-1,-1
4716,white house dodge question trump climate change belief cbs news environment,2,2
14788,noticed democrat dont call global warming anymore climate change,-1,0
5433,retweet earth could speak would tell everyone climate change occurring since earth day 1,-1,1
12490,green architecture inevitable fight climate change,1,1
6684,fix climate change put city not country charge benjamin barber,1,1
6514,global warming actually calm still like 12 degree weather everyday,0,1
15032,retweet snow bleached anemone crack ice climate change look like,1,1
15367,florida nice job voting trump ll look like within next century thanks climate change,1,1
14684,retweet human caused climate change cause unprecedented arctic heatwave scientist say,2,2
3469,trump pick climate change doubter usda science job hill,2,2
14842,congrats elected please dont let dup deal turn back clock abortion gay right climate change,1,1
15273,retweet climate change really big april fool prank,1,0
14758,read working farmer climate change pity dont believe amp persist,1,1
8143,retweet ny t hire columnist support torture denies climate change intellectual diversity not one supp,1,1
14049,retweet president elect doesnt believe climate change million people going say mr t,1,1
15683,sun put brake global warming via fox news,-1,2
6879,retweet ge ceo vow ignore trump continue fight climate change,2,2
644,one trump promise might really destroy world amp life know turning away halting climate change amp promoting instead,1,1
4525,retweet ge ceo jeff im melt seek fill void left donald trump climate change effort boston business journal,2,2
7498,retweet s thinking s going die husband doesnt believe climate change,1,1
11511,retweet climate change denier watch animation temperature change country 1900 2016 still not convinced,1,1
3872,retweet acting combat climate change help environment grow economy,1,1
11911,retweet im not saying due global warming due global warming,1,0
7861,everyone move michigan 2100 due climate change popular science say,2,2
1055,want buy home global warming zone ron lieber explains ass risk taking,1,1
7063,retweet trump administration told epa remove climate change data website h,2,2
12051,retweet snowflake drive car blow dry hair preaching global warming,-1,-1
101,retweet chinese broke massive iceberg antarctica paretweet global warming hoax,1,1
10104,retweet breathtakingly wrong epa chief scott pr u t doubt consensus view climate change,1,2
12289,retweet dealing inevitable global disaster climate change humanity s 1 priority trump denies,1,1
969,retweet snow bleached anemone crack ice climate change look like,1,1
8866,retweet trump s defense secretary call climate change national security risk,2,2
7018,retweet polar bear poster child impact climate change wildlife read,1,1
7183,retweet 91 degree mid november president elect want cut 100 billion dollar federal climate change spending,1,1
7793,retweet believe rose dead dont believe climate change,1,1
14591,retweet global warming worried global warming caused nuclear weapon hand crazy,-1,-1
11271,retweet met u secretary state today discus issue including international security climate change,0,1
6513,retweet shocking man lied birth eris m climate change crowd size victory margin amp voter fraud also lied ab,1,1
13332,retweet tree hug g hippie man walking barefoot across america protest climate change save earth,-1,-1
5604,new research point climate change increase fire activity mediterranean europe,1,2
8981,retweet u dept agriculture avoids term climate change unfortunately climate change not fooled continues exist h tt,1,1
4462,retweet s thinking s going die husband doesnt believe climate change,1,1
4930,gov jerry brown call trump energy plan colossal mistake galvanize climate change activist,2,2
1235,retweet planet not going make dont take action climate change take hour half day,1,1
2179,global warming could snowboard mountain,0,2
11512,retweet hey girl climate change im going ignore fuck,0,0
11659,climate change trump nominee try way christian science monitor,2,1
13406,retweet moment rts friend back climate change documentary omg fan girl,0,0
10482,retweet grow clean economy create good job canada s plan fight climate change,1,1
834,global warming turn thing better pin hope given interesting,0,0
13755,retweet climate change risk ready join u find,1,1
6388,harry typing strongly worded email management danger global warming shortly,0,0
13765,u climate change campaigner dy snorkeling great barrier great barrier reef,2,2
12039,retweet trump sign executive order reversing obama measure tackle climate change,2,2
7535,retweet like economy climate change immigration health care public transportation woman s issue,1,1
3505,retweet rio famous beach take battering scientist issue climate change warning global warming beach life,2,2
5806,retweet fucked trump pick climate change denier epa team,1,1
6187,weather channel shuts bre baretweet yes climate change real,1,1
10790,rigged stronger together dnc leak debate iam climate change directly related global terrorism,1,1
956,finally paris climate change agreement designed crook trump not buying crap,-1,-1
5060,retweet truth climate change 1 s real 2 s u 3 expert agree 4 s bad 5 s hope climate fac,1,1
769,lovely global warming today,0,0
1197,retweet great workshop tie racism global climate change interesting topic di,1,1
14496,retweet donald trump want shut orbiting space camera monitor climate change,2,2
11796,retweet day history 2005 following ratification russia kyoto protocol climate change enters,2,0
12674,s watch leonardo dicaprio s climate change documentary free online,0,0
5785,retweet l todd wood 50 blue state not true 4 not get sign lie like climate change dont w,-1,1
698,retweet cop 22 morocco leading country africa adapt climate change climate agreement news,1,2
6804,reign global warming israel,0,0
15247,el nino warming planet may sparked zi ka epidemic scientist reporetweet washington post,2,2
14000,retweet want talk woman s issue s fantastic let s talk health care education climate change,1,1
12369,retweet last book climate change say number one solution family planning tip toe around thi,1,1
3466,pop sci china trump actually didnt invent climate change,1,2
14592,retweet aaaa go trump admin started remove climate change related information epa website,1,1
2960,retweet positively joan retweet dough rav florida employee punished using phrase climate change fight cl,2,1
11603,graduating chemist un iv mn fight advocate advance work toward addressing climate change,1,1
9439,retweet rapid arctic ice melt driving extreme weather across north america europe asia climate change scientist t,2,2
10232,new wolverine called logan king kong kong people still confident well come solution global warming,0,1
13863,barack obama warns climate change could create refugee crisis unprecedented human history,2,2
14116,retweet peru suffering worst flood recent history scientist say climate change blame,2,2
2486,retweet understand impact global warming double apply sun screen bahamian island vacation t,0,1
15211,retweet ya expert r begging u 2 accept climate change u maniac fire amp water stop sucking,1,1
13873,retweet climate leader like think chinook climate change surprised climate change,0,1
497,retweet america become country world leader doesn t think global warming real,1,1
7784,retweet amy goodman call mainstream medium ppl summit not covering climate change,1,0
1149,listen 58 year climate change one minute pb news hour,2,2
12324,retweet s thinking s going die husband doesnt believe climate change,1,1
3206,climate change madness save province global warming zealot ruin u economically,-1,-1
10560,retweet learns danger climate change new netflix show,1,2
13790,retweet germany make climate change g 20 priority,2,2
8396,retweet need climate change warrior like naomi klein u pol,1,1
7798,retweet climate change breathtaking photo show effect climate change environment,1,1
3695,hundred million british aid wasted overseas climate change project,2,2
3330,retweet know unusually warm weather october due global warming climate change still kind,1,1
900,show already united issue doesnt see long term value mitigating climate change,1,1
15792,trump action climate change assault upon poor,1,1
4155,retweet action plan climate change awaiting final review say delhi government,2,2
12913,record breaking climate change push world uncharted territory,2,2
14902,retweet global warming isnt real explain club penguin shutting,0,0
11307,retweet u elected trump rest world didnt u policy e g climate change threaten,1,1
6391,g 7 leader pressure trump climate change new kerala environment,2,2
7130,retweet ironic china warns trump abandoning climate change deal source china warned donald trump,0,2
14074,retweet remember science gave u exact date time location eclipse tell u climate change real,1,1
15368,last thing climate change research needed nowadays year year work go smoke,1,1
10988,retweet global warming,0,0
11509,retweet researcher say three year act climate change late,2,2
7161,china s coastal sea level rise record high expert blame climate change,2,2
1458,retweet iceberg parent melted fight global warming peak python via reddit,0,0
12297,retweet epa shuts program helping state adjust climate change,2,2
6334,ok confused weather texas tomorrow christmas high 73 degree fahrenheit umm global warming mitch,1,1
10520,retweet china donald trump didn t invent climate change,2,2
4436,retweet senior diplomat beijing embassy resigns trump s climate change decision wow,2,2
7751,retweet asia australia farmer climate change frontline,2,2
9266,retweet al gore amp climate change,0,1
8764,retweet ne 1205 trump sweep away obama climate change plan h tt,2,2
205,retweet china tell trump climate change isnt hoax invented,2,2
2973,retweet today trump order end federal action climate change think moment imagine,1,1
6494,retweet hrc proposes installing half billion solar panel end first term trump think climate change hoax,1,1
6957,retweet take dip unusually warm water palau coral may hold secret combating climate change,1,2
2547,retweet federal judge allows climate change lawsuit proceed,2,2
3295,retweet climate change already affected earth,1,1
9752,retweet ok climate change denier heading epa awful s shade lip stain dude,1,1
3663,retweet tiffany amp co call president trump uphold climate change pact,2,1
14486,retweet people predicted part manhattan would underwater 2008 due climate change concerned fake,-1,-1
2220,retweet effort limit global warming not stop arctic melting fact day,2,1
7768,letter funding climate change wreck economy mansfield news journal,2,2
14427,retweet throw floor congress definitively disprove pesky global warming act alternate us snow,1,1
6698,physic doesn t really care elected donald trump said climate change chinese,1,1
124,retweet literally climate change denier rip planet,1,1
15164,retweet america become country world leader doesn t think global warming real,1,1
7428,damn add climate change denier list character fault,-1,1
8760,retweet hey florida go trump trump ignores global warming ocean eats one blame,1,1
8995,depression anxiety ptsd mental impact climate change cnn,2,2
12791,melanesian nation question global response climate change de vex,2,1
1715,retweet animation show global warming look like 100 country via c lim,1,1
3618,retweet norway boost protection svalbard seed vault climate change,2,2
4727,retweet kristina p hot io wife liberal party power broker quits lack action climate change,2,-1
6207,retweet need get inside mind climate change denier want change,1,1
7294,retweet water security closely linked migration climate change risk economic development via,1,1
11501,retweet freezing record low may doubt global warming say usu scientist,2,2
15806,retweet al gore idiot think climate change cause problem always always w,-1,-1
6289,come global warming joke right time,0,0
10151,retweet smog dangerous reason pollution need act act climate change biggest threat world h tt,1,1
2829,retweet join million people around globe switching light making noise climate change action,1,1
4674,retweet al hawked global warming nobel cause,0,0
3828,retweet mulc air pm ask germany strike climate change g 20 joint statement pm not say h w,2,2
11018,typically br exit e er dislike british judiciary admire trump amp put deny climate change,0,1
15238,newcastle university experetweet call urban wasteland used fight climate change,2,1
5428,retweet heat index likely reach 105 today global warming isnt real alternative fact impeach 45 resist not begun,1,1
5864,happy not going cater climate change alarmist,-1,-1
11302,city connect show climate change impact home,2,2
14105,retweet next trick ill say global warming not hoax,0,1
9786,hillary pretty awful amp dodged bullet losing s not climate change denier,1,1
4800,retweet mayor cape town model leader fighting climate change,1,1
15310,liberal maybe please try stop global warming,0,-1
8817,retweet expensive global warming bullshit used trump preferred method referring climate change,0,0
6206,science tv show kid nickelodeon disney pb ignore climate change j v,1,1
13372,retweet 2010 2017 sad see climate change done grand canyon,1,1
674,talking climate change program,0,0
6500,climate change denier doubt help,1,1
15354,weird keep seeing consequence imaginary climate change thing,1,1
336,climate talk save u global warming u urged geography teacher climate change,2,2
4416,epa chief climate change denial easily refuted ep website washington post,1,1
10881,wake man made life ending climate change false science fabricated big business decade delphi principle look,-1,1
1541,long island tech news paul bledsoe discus trump executive order lift rule combat climate change,2,2
14287,retweet earth day doodle sends message climate change,2,2
8325,check well gettin climate change,0,1
7351,year two ago pentagon came said climate change threat national security,0,1
13647,lefty either deny going blame invasion iraq global warming,-1,0
15149,record breaking climate change push world uncharted territory,2,2
7091,retweet country 2 nd highest greenhouse gas emission planet elected climate change denier president,1,1
7615,retweet make date tomorrow answer question climate change promise exciting ch,0,0
13899,retweet sign already leadership climate change proving remarkably resilient f,1,1
3621,retweet state affected climate change florida voting climate change denier,1,1
11803,retweet p rie bus say pre s elect trump s default position climate change bunk awful news u amp world,1,1
14697,retweet virtually every major issue raising minimum wage climate change pay equity woman majority,1,1
2843,retweet news week energy amp climate change digested u t,2,1
2525,retweet glad know climate change not massive neo nazi affront core american value el musk dr,1,1
2964,retweet 5 way teach climate change classroom,1,1
14547,must climate change,0,-1
12768,retweet opinion intensity summer s forest fire europe harbinger climate change bring,1,1
3520,retweet house gop climate change plan,0,2
4740,retweet global warming isnt real explain club penguin shut,0,0
10555,retweet twitter resistance explodes federal climate change gag order,2,2
249,exxonmobil exxon rex tiller reportedly used alias email climate change read x om,2,2
9666,photo force look victim climate change eye,1,1
14854,retweet octopus parking garage climate change s canary coal mine,2,2
1859,retweet climate change denier charge epa worse anti vaccination health minister flat earth nasa chief,1,1
11959,retweet new go resource people asking stop climate change thank,1,1
11266,retweet yet none people take climate change seriously hypocrite,1,1
11231,unusual group suspect united fight climate change,2,2
8480,retweet warm regard podcast direct thought people know thing climate change cl,0,1
7690,retweet insane epa news grant must checked publicist demand removal phrase climate change fro,1,2
12705,retweet understanding climate change social issue climate sociology safety,1,1
6243,retweet mystery greenland s icy history could help u survive climate change,2,2
15477,wow oil company understand severity climate change government,1,1
12192,retweet president doesnt believe climate change happy earth day,1,1
15594,retweet yall fake care world cared would try contribute climate change least bit aren,1,1
2156,use global warming change b,-1,0
887,climate change real sai bai island predicament boi gu muddy amp inundated,1,1
15661,retweet dance want scientist told global warming,1,0
3890,retweet s thinking s going die husband doesnt believe climate change,1,1
4625,retweet indian engineer creating giant artificial glacier counteract effect climate change,2,2
5936,tokyo waste processing center world class amp studied could solve global climate change problem,1,0
11967,uk climate change national assessment predicts flooding,2,2
9699,retweet seven specie sea turtle overfishing climate change habitat destruction amp poll uti,1,1
11847,po dunk paretweet hudson valley ask guy think global warming,0,0
10518,retweet indigenous local knowledge role play observe amp respond climate change,1,1
13258,retweet expect u care global warming penguin penguin crime,0,0
985,retweet tweeting climate change real name face everything every hateful reply ony mo,1,1
15633,like went global cooling warming climate change c,-1,-1
13692,retweet national geographic asked photographer show impact climate change s shot,1,1
14821,retweet california went winter right summer global warming isnt real sarcasm,1,1
10148,retweet global warming advocate scared want action go action china russia india u squeaky,0,1
6197,retweet trump may kill world s last hope climate change pact report bleak view cop 22,1,1
15085,retweet global warming melt sea ice across arctic shipping route thought impossible may open mid cent ur,2,2
15116,retweet race curb climate change city pacing nation,2,2
639,retweet china tell trump climate change not chinese hoax,2,2
3060,evidence climate change boost coffee plant disease,2,2
1787,retweet snow bleached anemone crack ice climate change look like,1,1
14152,s cog not ive disconnect cause congestion similar climate change im not problem everyone else,1,1
15193,retweet paris agreement climate change vp penny say trump fighting american job via hannity,2,2
13788,retweet watch flood right travel world tackle climate change h tt,1,1
1565,retweet sitting waiting delayed flight watching cnn 5 hr time covered russia amp climate change,-1,1
14814,liberal dont trust data clinton trusted data amp look happened therefore climate change isnt real,-1,-1
1316,retweet never talk climate change election despite tremendous stake vox,1,1
1175,retweet explored whether climate change mean big storm isnt done,1,1
835,retweet environment pakistan 7 effected global warming proud kp gov planted 800 m tree 3 year 21,1,1
14970,retweet vr make people feel impact climate change tree vr climate change tree,2,1
11696,retweet wont fight climate change state must seize job creation opportunity nation h tt,1,1
6007,retweet climate p 2 retweet rockefeller family tried failed get exxonmobil accept climate change,1,1
8157,retweet senator malcolm robert show come baffling conclusion climate change data u pol climate,0,2
8754,retweet epa chief scott pr u t carbon dioxide not main cause global warming meanwhile temperature keep rising,1,2
13789,retweet wouldnt grand man made climate change denier cry theory stopped believing gravity,1,1
11888,global warming,0,0
1613,compelling documentary work climate change bring b c,1,1
5688,retweet global warming doesnt exist club penguin shutting stay woke,0,0
1831,retweet meaningful issue trump ran like claiming climate change hoax perpetuated chinese g ree,1,1
6778,climate change problem vast preponderance victim not yet exist,1,1
3870,retweet rapid climate change fear north pole ice melt time move away filthy fossil fuel ban f racking rene,1,1
13333,retweet denying us essential role responding climate change another example disregarding human life favour,1,1
14265,retweet killing hibernating bear dangerous ya think thrashing climate change nightmare th,0,1
4210,retweet haven t read recent article climate change impact ensuing discussion get,1,1
13199,retweet sea ice melting away trump appoints famous climate change denier purpose incompetent scott pr u t head,1,1
777,retweet trump cutting ep climate change budget 29 million million s meanwhile,1,1
1537,retweet 7 wrote mom global warming need save planet thank,1,1
2972,retweet preventing nuclear war would save million life prevent sudden catastrophic climate change,1,1
5594,retweet people believing global warming amp darwin believe anything sad enemy make s,-1,1
6947,epa fuck climate change dod um climate change national security problem pre s chee du u u uh drool tie,1,1
11721,petty egotistical buffoon belief climate change hoax cant even comprehend s uneducated amp wrong resist dump trump,1,1
268,retweet polluting pr u t think human impact climate change subject continued debate s not climate fact,1,1
3611,retweet 400 k investment peat land reduce emission amp allow scotland build climate change plan,1,1
12263,like donald trump think climate change hoax fucking stupid literally nothing else say,1,1
11731,exxon mobile voice reason climate change got problem,1,0
8753,retweet arctic ice melt could trigger uncontrollable climate change global level,2,2
2003,retweet oh good one troubling idea climate change found new evidence favor,1,1
10791,study ass financing method climate change damage,2,2
8284,retweet bc need bold plan tackle climate change amp create thousand job lay,1,1
2247,retweet climate change could make extreme rain even worse,2,2
6641,retweet president elect doesnt believe climate change million people going say mr t,1,1
11252,retweet china s president warns world economy face growing risk country ignoring climate change,2,2
12525,retweet rex tiller focus ny ag expands sweeping investigation whether exxon misled investor climate change,2,2
9693,call party paris agreement climate change ratify without delay peter thomson,1,2
3640,retweet global warming doesnt exist meanwhile jake west midland get severe sunburn looking weather forecast,1,1
8972,half world specie failing cope global warming earth race towards sixth mass extinction,2,1
7763,retweet south florida climate change isnt abstract issue,2,1
13600,retweet hey girl climate change im going ignore fuck,0,0
4746,retweet cancel billion dollar global warming payment united nation dont even know wi,0,0
5733,retweet arctic sea ice could trigger uncontrollable global climate change,2,2
4563,retweet global warming doesnt exist club penguin shutting,0,0
2361,retweet stand saying california not back climate change,1,1
15107,1 winter not climate change not even trend science much,0,0
8786,el ni o warming planet may sparked zi ka epidemic scientist report,2,2
7614,retweet play crucial role climate change fight put someone charge determined see fail,1,1
11551,retweet s thinking s going die husband doesnt believe climate change,1,1
8923,retweet condemn brutal act paris accord leadership mean fighting climate change together not f,1,1
12845,retweet today obama give 500 m climate change fund amp commuted chelsea manning s sentence trump sued sexually,1,1
3975,retweet hess impact future deforestation climate change hydrology amazon basin,1,1
8423,supposed worldwide leader role model come stopping climate change much,1,1
1808,disappearing island mayor challenged al gore climate change grist,2,2
14995,retweet world leader ignore trump climate change say michael bloomberg,2,2
13853,retweet wish government would prevent climate change,1,2
2734,retweet irma turned cat 5 due warm water s due climate change trump den,1,1
15771,retweet s real evidence manmade global warming exists say rick perry belief virginal birth sur r,1,1
15351,im canadian feel disheartened president elect trump view climate change im looking give monthly donation char,1,1
11096,head epa pr u t denies carbon dioxide cause global warming despite widespread agreement scientific community,1,1
8597,excited heading bonn climate change conference next month learn impact climate change sb 46,1,0
9458,al gore crony continue getting richer global warming hoax,-1,-1
13963,retweet denies science say carbon cause global warming 950 business demand low carbon usa,1,1
11134,retweet war mist upset energy secretary rick perry want hold climate change debate,-1,1
5244,retweet parent id anything child scientist s stave climate change child stay o,1,1
11401,retweet concept global warming created chinese order make u s manufacturing non competitive,-1,-1
12320,good luck un meeting urge highest political commitment climate change,0,2
726,climate talk save u global warming u urged,2,2
1706,retweet feel bad people world whose country shit together combat global warming u,1,1
12439,retweet hrc proposes installing half billion solar panel end first term trump think climate change hoax,1,1
11783,retweet men ce gah global warming g cara ti dak men e bang poh di lah yg akan di bangu n rum ah,0,0
863,retweet u got rich white dude saying global warming world starving dying result,1,0
11944,retweet man reject settled science climate change not lead epa,1,1
7413,retweet voted believe equality need comprehensive immigration reform pro choice global warming real,1,1
14576,retweet taking dani not climate change taking back power corporate plutocracy sebastian job,1,1
13888,retweet s thinking s going die husband doesnt believe climate change,1,1
4075,retweet delusion climate change denier bang money letter today,1,1
